nominal;data;curs;rub;
100;29.07.21;87.0251;0.870251;641
100;30.07.21;86.4188;0.864188;640
100;31.07.21;86.2352;0.862352;639
100;03.08.21;86.1178;0.861178;638
100;04.08.21;85.9825;0.859825;637
100;05.08.21;85.9006;0.859006;636
100;06.08.21;86.3468;0.863468;635
100;07.08.21;86.3015;0.863015;634
100;10.08.21;86.6859;0.866859;633
100;11.08.21;86.7780;0.86778;632
100;12.08.21;87.2103;0.872103;631
100;13.08.21;86.7258;0.867258;630
100;14.08.21;86.4886;0.864886;629
100;17.08.21;86.5276;0.865276;628
100;18.08.21;86.6798;0.866798;627
100;19.08.21;86.6914;0.866914;626
100;20.08.21;87.6199;0.876199;625
100;21.08.21;87.8488;0.878488;624
100;24.08.21;87.4758;0.874758;623
100;25.08.21;87.3955;0.873955;622
100;26.08.21;87.0998;0.870998;621
100;27.08.21;87.3320;0.87332;620
100;28.08.21;87.3233;0.873233;619
100;31.08.21;86.8368;0.868368;618
100;01.09.21;86.4871;0.864871;617
100;02.09.21;86.3845;0.863845;616
100;03.09.21;85.9757;0.859757;615
100;04.09.21;85.9821;0.859821;614
100;07.09.21;86.0536;0.860536;613
100;08.09.21;86.3332;0.863332;612
100;09.09.21;86.6295;0.866295;611
100;10.09.21;86.2094;0.862094;610
100;11.09.21;85.7744;0.857744;609
100;14.09.21;86.1564;0.861564;608
100;15.09.21;85.7238;0.857238;607
100;16.09.21;85.8836;0.858836;606
100;17.09.21;85.3928;0.853928;605
100;18.09.21;85.5429;0.855429;604
100;21.09.21;86.4713;0.864713;603
100;22.09.21;86.3025;0.863025;602
100;23.09.21;85.9165;0.859165;601
100;24.09.21;85.7325;0.857325;600
100;25.09.21;86.0669;0.860669;599
100;28.09.21;85.6580;0.85658;598
100;29.09.21;85.4782;0.854782;597
100;30.09.21;85.7753;0.857753;596
100;01.10.21;85.6132;0.856132;595
100;02.10.21;85.9648;0.859648;594
100;05.10.21;85.9693;0.859693;593
100;06.10.21;85.5488;0.855488;592
100;07.10.21;85.5483;0.855483;591
100;08.10.21;85.2149;0.852149;590
100;09.10.21;84.8726;0.848726;589
100;12.10.21;84.4509;0.844509;588
100;13.10.21;84.7371;0.847371;587
100;14.10.21;84.7107;0.847107;586
100;15.10.21;84.6245;0.846245;585
100;16.10.21;83.9791;0.839791;584
100;19.10.21;83.9016;0.839016;583
100;20.10.21;83.6650;0.83665;582
100;21.10.21;83.7714;0.837714;581
100;22.10.21;83.6951;0.836951;580
100;23.10.21;83.5372;0.835372;579
100;26.10.21;82.6988;0.826988;578
100;27.10.21;81.9991;0.819991;577
100;28.10.21;82.3078;0.823078;576
100;29.10.21;83.1452;0.831452;575
100;30.10.21;83.1363;0.831363;574
100;02.11.21;83.8013;0.838013;573
100;03.11.21;84.2712;0.842712;572
100;04.11.21;84.2744;0.842744;571
100;09.11.21;84.1684;0.841684;570
100;10.11.21;84.0376;0.840376;569
